ID,PresAbs,Abund,Easting,Northing
1,1,16,577354.9613,4418523.274
2,0,0,578239.4587,4418423.142
3,0,0,578055.8838,4417805.663
4,1,2,579635,4414751.644
5,1,2,581760.7595,4415052.039
6,0,0,581226.7233,4413499.996
7,0,0,580726.0644,4412131.529
8,0,0,580141.9624,4411630.87
9,0,0,579491.1059,4410896.57
10,0,0,579791.5012,4410095.516
11,1,4,579441.04,4409778.432
12,0,0,580675.9986,4409194.33
13,0,0,580559.1782,4407959.372
14,0,0,580108.5852,4407508.779
15,0,0,581143.2802,4406474.083
16,0,0,581543.8073,4405088.927
17,1,8,582728.7,4405472.766
18,1,1,583629.8859,4404755.155
19,1,1,583628.889,4402368.298
20,0,0,586767.3483,4399715.189
21,1,135,588102.4386,4398880.757
